name_q,name_u,views
Abubakar_Iro_Danmusa,Abubakar_Iro_Danmusa,725.0
Abubakar_Tafawa_Balewa,Abubakar_Tafawa_Balewa,13188.0
Abubakarr_Jalloh,Abubakarr_Jalloh,1029.0
Abul_A%27la_Maududi,Abul_A'la_Maududi,3.0
Abul_Hashim,Abul_Hashim,1504.0
Abul_Kalam_Shamsuddin,Abul_Kalam_Shamsuddin,1387.0
Abul_Kashem,Abul_Kashem,2107.0
Abulfaz_Elchibey,Abulfaz_Elchibey,2158.0
Aburizal_Bakrie,Aburizal_Bakrie,24335.0
Abuzed_Omar_Dorda,Abuzed_Omar_Dorda,2005.0
Achhar_Singh_Chhina,Achhar_Singh_Chhina,1399.0
Achieng_Oneko,Achieng_Oneko,1874.0
Achike_Udenwa,Achike_Udenwa,1372.0
Achille_Lauro,Achille_Lauro,77340.0
Achille_Occhetto,Achille_Occhetto,3242.0
Achille_Peretti,Achille_Peretti,2802.0
Achille_Starace,Achille_Starace,7559.0
Achille_Van_Acker,Achille_Van_Acker,2657.0
Achilleas_Gerokostopoulos,Achilleas_Gerokostopoulos,1180.0
Ad%C3%A1n_Ch%C3%A1vez,Adán_Chávez,2716.0
Ad%C3%A1n_Mart%C3%ADn_Menis,Adán_Martín_Menis,899.0
Ad%C3%A9la%C3%AFde_Mound%C3%A9l%C3%A9-Ngollo,Adélaïde_Moundélé-Ngollo,175.0
Ad_Melkert,Ad_Melkert,3663.0
Ada_Deer,Ada_Deer,4357.0
Ada_Fisher,Ada_Fisher,1268.0
Ada_It%C3%BArrez_de_Cappellini,Ada_Itúrrez_de_Cappellini,486.0
Ada_Maza,Ada_Maza,545.0
Adalberto_Pereira_dos_Santos,Adalberto_Pereira_dos_Santos,60.0
Adalgisa_Magno_Guterres,Adalgisa_Magno_Guterres,11.0
Adam%2C_Count_of_Schwarzenberg,"Adam,_Count_of_Schwarzenberg",904.0
Adam_Afriyie,Adam_Afriyie,10293.0
Adam_Bielan,Adam_Bielan,1664.0
Adam_Clayton_Powell%2C_Jr.,"Adam_Clayton_Powell,_Jr.",28386.0
Adam_Clayton_Powell_IV,Adam_Clayton_Powell_IV,990.0
Adam_Daniel_Rotfeld,Adam_Daniel_Rotfeld,3488.0
Adam_Egede-Nissen,Adam_Egede-Nissen,1180.0
Adam_Eggich,Adam_Eggich,32.0
Adam_Jerzy_Czartoryski,Adam_Jerzy_Czartoryski,11391.0
Adam_Lipi%C5%84ski,Adam_Lipiński,808.0
Adam_Malik,Adam_Malik,12519.0
Adam_Pi%C5%82sudski,Adam_Piłsudski,825.0
Adam_Price,Adam_Price,8894.0
Adam_Remmele,Adam_Remmele,581.0
Adam_Seybert,Adam_Seybert,945.0
Adam_Smith_%28politician%29,Adam_Smith_(politician),6706.0
Adam_Szejnfeld,Adam_Szejnfeld,938.0
Adam_Weiss,Adam_Weiss,104.0
Adam_Wilhelm_Moltke,Adam_Wilhelm_Moltke,2597.0
Adam_von_Trott_zu_Solz,Adam_von_Trott_zu_Solz,15808.0
Adamee_Komoartok,Adamee_Komoartok,180.0
Adamou_Mayaki,Adamou_Mayaki,426.0
Adamou_Ndam_Njoya,Adamou_Ndam_Njoya,2021.0
Adams_George_Archibald,Adams_George_Archibald,4741.0
Adams_Oshiomhole,Adams_Oshiomhole,3994.0
Adamu_Aliero,Adamu_Aliero,1625.0
Adamu_Ciroma,Adamu_Ciroma,1958.0
Adan_Ahmed_Elmi,Adan_Ahmed_Elmi,1334.0
Addie_Morrow,Addie_Morrow,676.0
Adel_al-Jubeir,Adel_al-Jubeir,5550.0
Adelaide_Tambo,Adelaide_Tambo,2818.0
Adelbert_Ames,Adelbert_Ames,21743.0
Adele_Cohen,Adele_Cohen,32.0
Adelheid_Popp,Adelheid_Popp,1126.0
Adeline_Hazan,Adeline_Hazan,987.0
Adelino_Amaro_da_Costa,Adelino_Amaro_da_Costa,891.0
Adelusi_Adeluyi,Adelusi_Adeluyi,924.0
Adem_Dema%C3%A7i,Adem_Demaçi,2119.0
Aden_Abdullah_Osman_Daar,Aden_Abdullah_Osman_Daar,16912.0
Aden_Hashi_Farah,Aden_Hashi_Farah,5117.0
Aden_Ridgeway,Aden_Ridgeway,10105.0
Adi_Roche,Adi_Roche,5875.0
Adiatorix,Adiatorix,1007.0
Adib_Shishakli,Adib_Shishakli,4503.0
Adil_%C3%87ar%C3%A7ani,Adil_Çarçani,4285.0
Adil_Abdul-Mahdi,Adil_Abdul-Mahdi,4797.0
Adil_Zulfikarpa%C5%A1i%C4%87,Adil_Zulfikarpašić,5567.0
Adina_Bastidas,Adina_Bastidas,3030.0
Adlai_Stevenson_II,Adlai_Stevenson_II,7990.0
Adnan_Ad%C4%B1var,Adnan_Adıvar,504.0
Adnan_Kahveci,Adnan_Kahveci,1510.0
Adnan_Khairallah,Adnan_Khairallah,10605.0
Adnan_Menderes,Adnan_Menderes,33299.0
Adnan_Pachachi,Adnan_Pachachi,5240.0
Adnan_Terzi%C4%87,Adnan_Terzić,3378.0
Adnan_Yaakob,Adnan_Yaakob,315.0
Adnan_al-Malki,Adnan_al-Malki,136.0
Adnan_al-Zurufi,Adnan_al-Zurufi,835.0
Ado_Birk,Ado_Birk,1682.0
Adolf_Arndt,Adolf_Arndt,1298.0
Adolf_Fischhof,Adolf_Fischhof,1022.0
Adolf_Heinrich_von_Arnim-Boitzenburg,Adolf_Heinrich_von_Arnim-Boitzenburg,2861.0
Adolf_Hitler,Adolf_Hitler,6078816.0
Adolf_Hofer_%28politician%29,Adolf_Hofer_(politician),159.0
Adolf_K%C3%B6ster,Adolf_Köster,140.0
Adolf_Lu_Hitler_Marak,Adolf_Lu_Hitler_Marak,28730.0
Adolf_Marschall_von_Bieberstein,Adolf_Marschall_von_Bieberstein,50.0
Adolf_Ogi,Adolf_Ogi,5792.0
Adolf_von_Thadden,Adolf_von_Thadden,6795.0
Adolfo_Aguilar_Z%C3%ADnser,Adolfo_Aguilar_Zínser,3458.0
Adolfo_Alsina,Adolfo_Alsina,1509.0
Adolfo_Canepa,Adolfo_Canepa,2214.0
Adolfo_Carri%C3%B3n%2C_Jr.,"Adolfo_Carrión,_Jr.",162.0
Adolfo_L%C3%B3pez_Mateos,Adolfo_López_Mateos,16440.0
Adolfo_Rodr%C3%ADguez_Sa%C3%A1,Adolfo_Rodríguez_Saá,10695.0
Adolfo_Ruiz_Cortines,Adolfo_Ruiz_Cortines,13252.0
Adolfo_Sald%C3%ADas,Adolfo_Saldías,31.0
Adolfo_Su%C3%A1rez,Adolfo_Suárez,16182.0
Adolfo_Su%C3%A1rez_Illana,Adolfo_Suárez_Illana,28.0
Adolfo_Zald%C3%ADvar,Adolfo_Zaldívar,1135.0
Adolph_J._Sabath,Adolph_J._Sabath,3384.0
