name_u,views
Mikhail_Tugan-Baranovsky,5771.0
Miroslav_Kalousek,7429.0
Modulf_Aukan,1227.0
Mohamed_Nasheed,75601.0
Mohammed_Habib,1389.0
Moses_Katjiuongua,1023.0
Moshe_Ze'ev_Feldman,1172.0
Moula_Bakhsh_Chandio,4363.0
Muhammad_Zafarullah_Khan,42152.0
Mukku_Kasi_Reddy,1179.0
Mutula_Kilonzo,11492.0
Mykola_Katerynchuk,1178.0
Myoma_U_Than_Kywe,3370.0
Mythili_Sivaraman,4149.0
N._K._K._P._Raja,2665.0
Naha_Mint_Mouknass,1770.0
Narayan_Man_Bijukchhe,2239.0
Necdet_Calp,2492.0
Nelia_Penman,698.0
Nikolaos_Stratos,4041.0
Nilesh_Narayan_Rane,10966.0
Nimalan_Soundaranayagam,1517.0
Norman_Cafik,2168.0
Norman_Yee,9639.0
Noureddin_Kianouri,5696.0
Nur_ul-Haq_Ulumi,6055.0
Nwafor_Orizu,8979.0
Odd_Holten,1476.0
